Date  ,Season  ,Composer: Work,Soloist / Instrument,Conductor  ,Orchestra  ,Venue  ,City
,,Christoph Willibald Gluck :  Ballet Suite No. 1 (arr. Gevaert),,,,,
,,"Carl Maria von Weber :  Abu Hassan: Aria, ""o, Fatima""",Emily Winant / Contralto,,,,
,,François-Adrien Boieldieu :  Dame Blanche: Overture,,,,,
12/7/1881,1881-82 Symphony Season,"Ludwig van Beethoven :  Consecration oft he House: Overture, Op. 124",,George Hcnschel.,Boston Symphony Orchestra,"Sanders Thr., Harvard Univ.","Cambridge, MA, U.S.A."
,,"George Frideric Handel :  Giulio Cesare, Hwv 17: Act 3: Piangerò la sorte mia",Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,"Wolfgang Amadeus Mozart :  Symphony No. 40 in G minor, K. 550 (original - without clarinet)",,,,,
,,George Henschel :  Hymne au Créateur,Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,"Franz Schubert :  Rosamunde, D.797: (2) Ballet Music No. 1 in B minor",,,,,
12/9/1881,1881-82 Symphony Season,"Felix Mendelssohn :  Athalie: Overture, Op. 74",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Camille Saint-Saëns :  Concerto for Cello No. 1 in A minor, Op. 33",Carl Bayrhoffer / Cello,,,,
,,"Johannes Brahms :  Symphony No. 1 in C minor, Op. 68",,,,,
,,"Woldemar Bargiel :  Adagio for Cello and Orchestra, Op. 38",Carl Bayrhoffer / Cello,,,,
,,"Franz Liszt :  Symphonic Poem No. 3, ""Les Préludes""",,,,,
12/10/1881,1881-82 Symphony Season,"Felix Mendelssohn :  Athalie: Overture, Op. 74",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Camille Saint-Saëns :  Concerto for Cello No. 1 in A minor, Op. 33",Carl Bayrhoffer / Cello,,,,
,,"Johannes Brahms :  Symphony No. 1 in C minor, Op. 68",,,,,
,,"Woldemar Bargiel :  Adagio for Cello and Orchestra, Op. 38",Carl Bayrhoffer / Cello,,,,
,,"Franz Liszt :  Symphonic Poem No. 3, ""Les Préludes""",,,,,
12/16/1881,1881-82 Symphony Season,"Ludwig van Beethoven :  Egmont: Overture, Op. 84",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Ludwig van Beethoven :  Concerto for Piano No. 4 in G major, Op. 58",George W. Sumner / Piano,,,,
,,"Ludwig van Beethoven :  Wonne der Wehmut [Bliss of Grief, Goethe], for voice and piano, Op. 83, No. 1 Arr: Nikisch, Arthur, orch.",George W. Sumner / Piano Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,"Ludwig van Beethoven :  Mignon, Kennst du das Land . . . [Do You Know the Land . . .] (Goethe), Op. 75, No. 1",,,,,
,,"Ludwig van Beethoven :  Symphony No. 5 in C minor, Op. 67",,,,,
12/17/1881,1881-82 Symphony Season,"Ludwig van Beethoven :  Egmont: Overture, Op. 84",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Ludwig van Beethoven :  Concerto for Piano No. 4 in G major, Op. 58",George W. Sumner / Piano,,,,
,,"Ludwig van Beethoven :  Wonne der Wehmut [Bliss of Grief, Goethe], for voice and piano, Op. 83, No. 1 Arr: Nikisch, Arthur, orch.",George W. Sumner / Piano Lillian Bailey (Mrs. Georg) Henschel / Soprano,,,,
,,"Ludwig van Beethoven :  Mignon, Kennst du das Land . . . [Do You Know the Land . . .] (Goethe), Op. 75, No. 1",,,,,
,,"Ludwig van Beethoven :  Symphony No. 5 in C minor, Op. 67",,,,,
12/21/1881,1881-82 Symphony Season,"Johannes Brahms :  Tragic Overture in D minor, Op. 81",,George Hcnschel.,Boston Symphony Orchestra,"Sanders Thr., Harvard Univ.","Cambridge, MA, U.S.A."
,,"Ludwig van Beethoven :  Symphony No. 2 in D major, Op. 36",,,,,
,,"Antonin Dvorák :  Slavonic Dances, Op. 46, No. 4 in F major",,,,,
,,"Antonin Dvorák :  Slavonic Dances, Op. 46, No. 1 in C major",,,,,
,,Otto Nicolai :  Merry Wives of Windsor: Overture,,,,,
12/30/1881,1881-82 Symphony Season,Luigi Cherubini :  Ali-Baba: Overture,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Carl Maria von Weber :  Euryanthe: Act 2: Scene and Aria of Lysiart, ""Wo berg ich mich? [Where shall I hide myself?]""",George Henschel / Baritone,,,,
,,"Robert Schumann :  Symphony No. 2 in C major, Op. 61",,,,,
,,"Ferdinand von Hiller :  Soldier's Life: Capriccio, The Sentinel, Op. 146",,,,,
,,"Richard Wagner :  Meistersinger: Act I: Pogner's Address (Das SchÖne Fest, Johannistag)",George Henschel / Baritone,,,,
,,Richard Wagner :  Kaisermarsch (Emperor's March),,,,,
12/31/1881,1881-82 Symphony Season,Luigi Cherubini :  Ali-Baba: Overture,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Carl Maria von Weber :  Euryanthe: Act 2: Scene and Aria of Lysiart, ""Wo berg ich mich? [Where shall I hide myself?]""",George Henschel / Baritone,,,,
,,"Robert Schumann :  Symphony No. 2 in C major, Op. 61",,,,,
,,"Ferdinand von Hiller :  Soldier's Life: Capriccio, The Sentinel, Op. 146",,,,,
,,"Richard Wagner :  Meistersinger: Act I: Pogner's Address (Das SchÖne Fest, Johannistag)",George Henschel / Baritone,,,,
,,Richard Wagner :  Kaisermarsch (Emperor's March),,,,,
1/6/1882,1881-82 Symphony Season,"Karl Grammann :  Melusine: Overture, Op. 24",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Louis Maas :  Concerto for Piano in C minor, Op. 12",Louis Maas / Piano,,,,
,,"Ludwig van Beethoven :  Symphony No. 6 in F major, Op. 68, ""Pastoral""",,,,,
,,"Franz Liszt :  Études de concert (2), S145: (1) ""Waldesrauschen""",Louis Maas / Piano,,,,
,,"Franz Liszt :  Midsummer Night's Dream, Fantasy for Piano (Wedding March and Dance of Elves)",Louis Maas / Piano,,,,
,,Louis Joseph F. Herold :  Zampa: Overture,,,,,
1/7/1882,1881-82 Symphony Season,"Karl Grammann :  Melusine: Overture, Op. 24",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Louis Maas :  Concerto for Piano in C minor, Op. 12",Louis Maas / Piano,,,,
,,"Ludwig van Beethoven :  Symphony No. 6 in F major, Op. 68, ""Pastoral""",,,,,
,,"Franz Liszt :  Études de concert (2), S145: (1) ""Waldesrauschen""",Louis Maas / Piano,,,,
,,"Franz Liszt :  Midsummer Night's Dream, Fantasy for Piano (Wedding March and Dance of Elves)",Louis Maas / Piano,,,,
,,Louis Joseph F. Herold :  Zampa: Overture,,,,,
1/11/1882,1881-82 Symphony Season,"Wolfgang Amadeus Mozart :  Zauberflöte, Die [Magic Flute], K. 620: Overture",,George Hcnschel.,Boston Symphony Orchestra,"Sanders Thr., Harvard Univ.","Cambridge, MA, U.S.A."
,,"Felix Mendelssohn :  Infelice! Concert Aria for Soprano Solo with Orchestral Accompaniment, Op. 94",(Mrs.) E. Humphrey Allen / Soprano,,,,
,,Franz Joseph Haydn :  Symphony No. 102 in B-flat major (B. & H. No. 12),,,,,
,,Christoph Willibald Gluck :  Ballet Suite No. 1 (arr. Gevaert),,,,,
,,"Franz Lachner :  Suite No. 1 in D minor, Op. 113: March",,,,,
1/13/1882,1881-82 Symphony Season,Carl Maria von Weber :  Oberon: Overture,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Carl Maria von Weber :  Oberon: Act 1: Huon's Aria, ""Von Jugend auf in dem Kampfgefild [From Boyhood Trained]""",Charles R. Adams / Tenor,,,,
,,"Franz Schubert :  Symphony No. 9 in C major, D.944, ""The Great""",,,,,
,,"Richard Wagner :  Lohengrin: Act 3: Lohengrin's Narrative, ""In Fernem Land [In Distant Land]""",Charles R. Adams / Tenor,,,,
1/14/1882,1881-82 Symphony Season,Carl Maria von Weber :  Oberon: Overture,,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Carl Maria von Weber :  Oberon: Act 1: Huon's Aria, ""Von Jugend auf in dem Kampfgefild [From Boyhood Trained]""",Charles R. Adams / Tenor,,,,
,,"Franz Schubert :  Symphony No. 9 in C major, D.944, ""The Great""",,,,,
,,"Richard Wagner :  Lohengrin: Act 3: Lohengrin's Narrative, ""In Fernem Land [In Distant Land]""",Charles R. Adams / Tenor,,,,
1/20/1882,1881-82 Symphony Season,"Johann Sebastian Bach :  Toccata in F major (Orch. Esser) Arr: Esser, Heinrich",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Ludwig van Beethoven :  Concerto for Piano, Violin and Cello in C major, Op. 56 (Triple)",(Mme.) Terese Liebe / Violin George Henschel / Piano Theodore Liebe / Cello,,,,
,,"Felix Mendelssohn :  Symphony No. 5 in D minor, Op. 107, ""Reformation""",,,,,
,,"George Henschel :  Serenade in Canon form for Strings, Op. 23: Excerpt(s)",(Mme.) Terese Liebe / Violin Theodore Liebe / Cello,,,,
,,Daniel-François-Esprit Auber :  Part du Diable: Overture,,,,,
1/21/1882,1881-82 Symphony Season,"Johann Sebastian Bach :  Toccata in F major (Orch. Esser) Arr: Esser, Heinrich",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Ludwig van Beethoven :  Concerto for Piano, Violin and Cello in C major, Op. 56 (Triple)",(Mme.) Terese Liebe / Violin George Henschel / Piano Theodore Liebe / Cello,,,,
,,"Felix Mendelssohn :  Symphony No. 5 in D minor, Op. 107, ""Reformation""",,,,,
,,"George Henschel :  Serenade in Canon form for Strings, Op. 23: Excerpt(s)",(Mme.) Terese Liebe / Violin Theodore Liebe / Cello,,,,
,,Daniel-François-Esprit Auber :  Part du Diable: Overture,,,,,
1/25/1882,1881-82 Symphony Season,Carl Maria von Weber :  Oberon: Overture,,George Hcnschel.,Boston Symphony Orchestra,"Sanders Thr., Harvard Univ.","Cambridge, MA, U.S.A."
,,"Ludwig van Beethoven :  Concerto for Piano, Violin and Cello in C major, Op. 56 (Triple)",(Mme.) Terese Liebe / Violin George Henschel / Piano Theodore Liebe / Cello,,,,
